epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
96,2634.05,0.58626,0.36428,0.01087,0.86032,0.92774,0.94959,0.75537,0.65681,0.30933,0.01376,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,2660.51,0.57983,0.37792,0.01094,0.90614,0.90127,0.9475,0.76476,0.6523,0.30494,0.01374,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,2687.14,0.57218,0.35834,0.01079,0.89574,0.90349,0.94796,0.75595,0.65856,0.30332,0.0137,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,2713.64,0.57674,0.35855,0.01074,0.91158,0.88354,0.94925,0.76131,0.64899,0.30093,0.01355,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,2740.32,0.56422,0.35181,0.01056,0.9396,0.87765,0.9487,0.75982,0.64774,0.29647,0.01346,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,2767.05,0.56723,0.35594,0.01072,0.96385,0.86581,0.94239,0.76403,0.64058,0.2995,0.01347,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,2794.1,0.55835,0.35867,0.01039,0.95441,0.86213,0.94544,0.77659,0.63612,0.29215,0.01352,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,2821.14,0.56235,0.3466,0.0104,0.95786,0.8631,0.94776,0.77566,0.63233,0.296,0.01345,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,2847.88,0.56182,0.34095,0.01047,0.88951,0.91782,0.94758,0.77267,0.63384,0.29199,0.0136,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,2874.62,0.53541,0.33745,0.01002,0.94666,0.88136,0.9471,0.77833,0.63219,0.29774,0.01354,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,2901.48,0.53908,0.33824,0.01007,0.92042,0.89647,0.94686,0.78012,0.63416,0.29564,0.01373,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
